0	2	4	1	23	3	21	1	22	0	4	23	1	2	21	3	24	1	0	2
21	4	0	1	22	23	3	4	1	2	21	24	22	3	0	1	2	4	23	1
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	21	3	2	4	23	0	1	22	24	3	2	21	4	1	23	0	2	4	3
22	23	2	0	4	1	3	24	21	2	1	0	4	23	22	3	2	1	21	24
0	21	4	1	2	3	22	24	23	4	1	2	3	0	4	1	21	2	23	22
1	4	23	2	21	0	24	3	1	2	4	22	0	23	3	1	21	2	4	24
22	0	2	21	23	1	4	24	3	1	2	23	21	4	0	3	22	1	4	2
4	23	0	2	21	3	24	1	22	4	2	23	21	1	0	3	4	22	24	2
23	2	0	22	3	21	1	4	24	2	4	1	23	0	3	22	1	2	4	21
1	3	0	4	23	21	24	2	22	1	4	23	3	2	21	0	1	24	4	2
22	1	4	23	0	2	21	3	24	2	1	4	3	0	23	21	4	1	2	24
24	3	0	21	2	1	23	4	22	3	1	4	2	0	23	21	4	2	3	1
2	4	23	0	1	21	24	3	2	22	1	4	21	3	0	24	1	23	2	4
21	24	1	3	2	0	4	23	22	1	3	2	24	4	21	0	23	1	2	3
3	23	22	1	21	4	2	0	4	24	1	2	3	21	0	4	23	2	1	24
1	0	21	4	2	3	23	22	1	4	24	2	3	0	23	21	1	4	2	24
4	1	23	2	3	0	21	22	24	4	1	2	21	0	23	3	4	2	1	24
0	4	3	21	1	2	23	22	24	0	1	4	2	3	21	23	4	2	1	24
21	4	23	2	3	0	22	1	24	1	3	2	4	21	0	23	1	2	4	24
